FILEPATH,FILENAME,CFC_CAPTURE_ID,TEC_READING(CELCIUS),FILTER_POSITION
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355483896.tiff,cfc_capture_1719355483896_tiff,1719355483896,9,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355487209.tiff,cfc_capture_1719355487209_tiff,1719355487209,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355490451.tiff,cfc_capture_1719355490451_tiff,1719355490451,9,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355493760.tiff,cfc_capture_1719355493760_tiff,1719355493760,8,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355497032.tiff,cfc_capture_1719355497032_tiff,1719355497032,9,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355500316.tiff,cfc_capture_1719355500316_tiff,1719355500316,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355503614.tiff,cfc_capture_1719355503614_tiff,1719355503614,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355506950.tiff,cfc_capture_1719355506950_tiff,1719355506950,8,4
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355510232.tiff,cfc_capture_1719355510232_tiff,1719355510232,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355513526.tiff,cfc_capture_1719355513526_tiff,1719355513526,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355516823.tiff,cfc_capture_1719355516823_tiff,1719355516823,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355520075.tiff,cfc_capture_1719355520075_tiff,1719355520075,8,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355523374.tiff,cfc_capture_1719355523374_tiff,1719355523374,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355526591.tiff,cfc_capture_1719355526591_tiff,1719355526591,9,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355529867.tiff,cfc_capture_1719355529867_tiff,1719355529867,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355533196.tiff,cfc_capture_1719355533196_tiff,1719355533196,9,4
