FILEPATH,FILENAME,CFC_CAPTURE_ID,TEC_READING(CELCIUS)
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_40/cfc_capture_1719352737305.tiff,cfc_capture_1719352737305_tiff,1719352737305,45
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_090_INTTIME_01p5/DEG_POS_50/cfc_capture_1719352738026.tiff,cfc_capture_1719352738026_tiff,1719352738026,48
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_40/cfc_capture_1719352740574.tiff,cfc_capture_1719352740574_tiff,1719352740574,45
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_090_INTTIME_01p5/DEG_POS_50/cfc_capture_1719352741320.tiff,cfc_capture_1719352741320_tiff,1719352741320,48
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_40/cfc_capture_1719352743825.tiff,cfc_capture_1719352743825_tiff,1719352743825,45
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_090_INTTIME_01p5/DEG_POS_50/cfc_capture_1719352744580.tiff,cfc_capture_1719352744580_tiff,1719352744580,48
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_40/cfc_capture_1719352747036.tiff,cfc_capture_1719352747036_tiff,1719352747036,45
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/20250204_FILTPOS_90_INTTIME_02p5/cfc_capture_1719352756739.tiff,cfc_capture_1719352756739_tiff,1719352756739,37
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_010_INTTIME_01p5/DEG_NEG_50/cfc_capture_1719352758334.tiff,cfc_capture_1719352758334_tiff,1719352758334,49
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/20250204_FILTPOS_90_INTTIME_02p5/cfc_capture_1719352760035.tiff,cfc_capture_1719352760035_tiff,1719352760035,33
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_010_INTTIME_01p5/DEG_NEG_50/cfc_capture_1719352761614.tiff,cfc_capture_1719352761614_tiff,1719352761614,49
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/20250204_FILTPOS_90_INTTIME_02p5/cfc_capture_1719352763324.tiff,cfc_capture_1719352763324_tiff,1719352763324,29
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/TEST_SETUP/20250204_FILTPOS_90_INTTIME_02p5/cfc_capture_1719352766556.tiff,cfc_capture_1719352766556_tiff,1719352766556,25
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_130_INTTIME_02p0/DEG_POS_30/cfc_capture_1719352772768.tiff,cfc_capture_1719352772768_tiff,1719352772768,43
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_130_INTTIME_02p0/DEG_POS_30/cfc_capture_1719352775996.tiff,cfc_capture_1719352775996_tiff,1719352775996,43
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_130_INTTIME_02p0/DEG_POS_30/cfc_capture_1719352779266.tiff,cfc_capture_1719352779266_tiff,1719352779266,43
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_130_INTTIME_02p0/DEG_POS_30/cfc_capture_1719352782505.tiff,cfc_capture_1719352782505_tiff,1719352782505,43
